screen_name,id,location,description,url,followers,friends,status_counts
RepRossSpano,1090328229548826627,"Dover, FL",Proudly Representing #FL15 in the U.S. House of Representatives | RTs/follow ≠ endorsement.,https://t.co/s70X5B8YiV,2033,422,400
RepJimBaird,1086316494450032640,"Indiana, USA",Lifelong Hoosier proudly representing the 4th Congressional District.,https://t.co/8voGTCDqS3,2568,394,233
RepHagedorn,1083474782602125318,"Washington, DC","This is the official Twitter account for Congressman Jim Hagedorn, proudly representing the 1st District of Minnesota.
Tweets sent by staff, unless signed ""-JH”",https://t.co/D2A7FksK6h,2633,87,480
RepCasten,1083472286089396224,,"Official twitter account for Rep. Sean Casten, representing #IL06.",https://t.co/hJKrtCC1y8,11518,706,1053
CongressmanJVD,1083469084648505344,South Jersey,Congressman for New Jersey's 2nd District. Republican or Democrat - We are all American. Tweets by staff unless signified.,https://t.co/Tp26SFAMd6,3611,587,378
RepGregSteube,1083125649609506816,"Sarasota, FL",Official Twitter Account for Congressman Greg Steube of Florida's 17th District.,https://t.co/CToQuGL0yJ,5692,309,246
RepKendraHorn,1083019402046513152,"Oklahoma City, OK",Representing Oklahoma's 5th District. Chairwoman of the House Subcommittee on Space and Aeronautics. @womenleadok founder. @girlscouts supporter. #OK5,https://t.co/lZ1mc81o7x,8784,135,461
RepChipRoy,1082790600292925440,"Washington, DC",Proudly representing the people of the 21st Congressional District of Texas.,https://t.co/HpJaJuKlOT,23888,27,1500
RepChuyGarcia,1082427779583541248,,"Progressive Chicagoan, Retired Marathoner. Congressman of #IL04. @TransportDems and @FSCDems. FB/IG: @RepChuyGarcia",https://t.co/XUixIycAnx,6742,854,853
RepMichaelWaltz,1082416697380913152,,"Congressman for #FL6 (Volusia, Flagler, Lake, St Johns Counties), Green Beret, National Guard Lt. Col., former CEO, Author of ""Warrior Diplomat,"" Father.",https://t.co/QOB7UQmYz2,7089,459,1192
RepLucyMcBath,1082380458976051202,,Mother. Fighter. Congresswoman. #GA06,https://t.co/6EUupTzm7o,21870,369,384
RepGregPence,1082369392229400576,,The official Twitter account of U.S. Representative Greg Pence.,https://t.co/BpjKAeMjLx,4995,266,524
Ilhan,1082334352711790593,"Minneapolis, MN and Washington, DC",Representing Minnesota's 5th District in the People's House. @USProgressives Whip and Midwest Regional Whip.,https://t.co/etKOoQglhI,496586,331,1371
RepJohnJoyce,1082311988926124036,,Congressman serving the people of Pennsylvania’s 13th District. Fighting every day for the freedom and prosperity of our nation. #PA13,https://t.co/Bwnmv61Yga,4088,116,581
RepJahanaHayes,1082086081238102018,"Waterbury, CT","Mom, Educator, Congresswoman for CT-05 #hayesinthehouse",https://t.co/xvv9DfqY8M,27693,97,1050
RepEdCase,1081350574589833221,,Proudly representing Hawaii's First Congressional District.,https://t.co/aGmfQAB56h,3034,123,402
RepCarolMiller,1081318716573470720,"Huntington, WV","Wife, mother, grandmother, small business owner, and bison farmer. Proudly serving West Virginia's 3rd Congressional District.",https://t.co/FoIZ4nV66R,4517,129,398
RepJohnRose,1081312310059253763,"Cookeville, TN",U.S. Representative serving Tennessee’s Sixth Congressional District. Proud husband to Chelsea and father to Guy. House Financial Services Committee Member.,https://t.co/nPlQVTzP1F,2775,209,300
RepFinkenauer,1081256295469068288,,I represent the people of Iowa's First Congressional District in the U.S. House of Representatives.,https://t.co/oZmuGt0sI2,7916,33,414
RepMichaelGuest,1081243468327018496,,Representative for Mississippi's Third Congressional District in the U.S. House of Representatives. Christian. Father. Husband.,https://t.co/ahgqjKYGlj,3817,701,386
RepKirkpatrick,1081240074946252801,"Tucson, AZ","Congresswoman representing Arizona's 2nd Congressional District, but my grandchildren call me ""Mumsy!""",https://t.co/98uPA9ejti,5505,489,985
RepKatiePorter,1081222837459996672,"Irvine, CA and Washington, DC",Representative for #CA45. Irvine mom & Consumer Protection Attorney.,https://t.co/PdxzySKeVw,222390,93,801
